,make,price,mpg,rep78,weight,length,foreign,new_price_clp,new_price_clp_2
0,AMC Concord,4099,22,3.0,2930,186,Domestic,4017020,4017020
1,AMC Pacer,4749,17,3.0,3350,173,Domestic,4654020,4654020
2,AMC Spirit,3799,22,,2640,168,Domestic,3723020,3723020
3,Buick Century,4816,20,3.0,3250,196,Domestic,4719680,4719680
4,Buick Electra,7827,15,4.0,4080,222,Domestic,7670460,7670460
5,Buick LeSabre,5788,18,3.0,3670,218,Domestic,5672240,5672240
6,Buick Opel,4453,26,,2230,170,Domestic,4363940,4363940
7,Buick Regal,5189,20,3.0,3280,200,Domestic,5085220,5085220
8,Buick Riviera,10372,16,3.0,3880,207,Domestic,10164560,10164560
9,Buick Skylark,4082,19,3.0,3400,200,Domestic,4000360,4000360
10,Cad. Deville,11385,14,3.0,4330,221,Domestic,11157300,11157300
11,Cad. Eldorado,14500,14,2.0,3900,204,Domestic,14210000,14210000
12,Cad. Seville,15906,21,3.0,4290,204,Domestic,15587880,15587880
13,Chev. Chevette,3299,29,3.0,2110,163,Domestic,3233020,3233020
14,Chev. Impala,5705,16,4.0,3690,212,Domestic,5590900,5590900
15,Chev. Malibu,4504,22,3.0,3180,193,Domestic,4413920,4413920
16,Chev. Monte Carlo,5104,22,2.0,3220,200,Domestic,5001920,5001920
17,Chev. Monza,3667,24,2.0,2750,179,Domestic,3593660,3593660
18,Chev. Nova,3955,19,3.0,3430,197,Domestic,3875900,3875900
19,Dodge Colt,3984,30,5.0,2120,163,Domestic,3904320,3904320
20,Dodge Diplomat,4010,18,2.0,3600,206,Domestic,3929800,3929800
21,Dodge Magnum,5886,16,2.0,3600,206,Domestic,5768280,5768280
22,Dodge St. Regis,6342,17,2.0,3740,220,Domestic,6215160,6215160
23,Ford Fiesta,4389,28,4.0,1800,147,Domestic,4301220,4301220
24,Ford Mustang,4187,21,3.0,2650,179,Domestic,4103260,4103260
25,Linc. Continental,11497,12,3.0,4840,233,Domestic,11267060,11267060
26,Linc. Mark V,13594,12,3.0,4720,230,Domestic,13322120,13322120
27,Linc. Versailles,13466,14,3.0,3830,201,Domestic,13196680,13196680
28,Merc. Bobcat,3829,22,4.0,2580,169,Domestic,3752420,3752420
29,Merc. Cougar,5379,14,4.0,4060,221,Domestic,5271420,5271420
30,Merc. Marquis,6165,15,3.0,3720,212,Domestic,6041700,6041700
31,Merc. Monarch,4516,18,3.0,3370,198,Domestic,4425680,4425680
32,Merc. XR-7,6303,14,4.0,4130,217,Domestic,6176940,6176940
33,Merc. Zephyr,3291,20,3.0,2830,195,Domestic,3225180,3225180
34,Olds 98,8814,21,4.0,4060,220,Domestic,8637720,8637720
35,Olds Cutl Supr,5172,19,3.0,3310,198,Domestic,5068560,5068560
36,Olds Cutlass,4733,19,3.0,3300,198,Domestic,4638340,4638340
37,Olds Delta 88,4890,18,4.0,3690,218,Domestic,4792200,4792200
38,Olds Omega,4181,19,3.0,3370,200,Domestic,4097380,4097380
39,Olds Starfire,4195,24,1.0,2730,180,Domestic,4111100,4111100
40,Olds Toronado,10371,16,3.0,4030,206,Domestic,10163580,10163580
41,Plym. Arrow,4647,28,3.0,3260,170,Domestic,4554060,4554060
42,Plym. Champ,4425,34,5.0,1800,157,Domestic,4336500,4336500
43,Plym. Horizon,4482,25,3.0,2200,165,Domestic,4392360,4392360
44,Plym. Sapporo,6486,26,,2520,182,Domestic,6356280,6356280
45,Plym. Volare,4060,18,2.0,3330,201,Domestic,3978800,3978800
46,Pont. Catalina,5798,18,4.0,3700,214,Domestic,5682040,5682040
47,Pont. Firebird,4934,18,1.0,3470,198,Domestic,4835320,4835320
48,Pont. Grand Prix,5222,19,3.0,3210,201,Domestic,5117560,5117560
49,Pont. Le Mans,4723,19,3.0,3200,199,Domestic,4628540,4628540
50,Pont. Phoenix,4424,19,,3420,203,Domestic,4335520,4335520
51,Pont. Sunbird,4172,24,2.0,2690,179,Domestic,4088560,4088560
52,Audi 5000,9690,17,5.0,2830,189,Foreign,9496200,9496200
53,Audi Fox,6295,23,3.0,2070,174,Foreign,6169100,6169100
54,BMW 320i,9735,25,4.0,2650,177,Foreign,9540300,9540300
55,Datsun 200,6229,23,4.0,2370,170,Foreign,6104420,6104420
56,Datsun 210,4589,35,5.0,2020,165,Foreign,4497220,4497220
57,Datsun 510,5079,24,4.0,2280,170,Foreign,4977420,4977420
58,Datsun 810,8129,21,4.0,2750,184,Foreign,7966420,7966420
59,Fiat Strada,4296,21,3.0,2130,161,Foreign,4210080,4210080
60,Honda Accord,5799,25,5.0,2240,172,Foreign,5683020,5683020
61,Honda Civic,4499,28,4.0,1760,149,Foreign,4409020,4409020
62,Mazda GLC,3995,30,4.0,1980,154,Foreign,3915100,3915100
63,Peugeot 604,12990,14,,3420,192,Foreign,12730200,12730200
64,Renault Le Car,3895,26,3.0,1830,142,Foreign,3817100,3817100
65,Subaru,3798,35,5.0,2050,164,Foreign,3722040,3722040
66,Toyota Celica,5899,18,5.0,2410,174,Foreign,5781020,5781020
67,Toyota Corolla,3748,31,5.0,2200,165,Foreign,3673040,3673040
68,Toyota Corona,5719,18,5.0,2670,175,Foreign,5604620,5604620
69,VW Dasher,7140,23,4.0,2160,172,Foreign,6997200,6997200
70,VW Diesel,5397,41,5.0,2040,155,Foreign,5289060,5289060
71,VW Rabbit,4697,25,4.0,1930,155,Foreign,4603060,4603060
72,VW Scirocco,6850,25,4.0,1990,156,Foreign,6713000,6713000
73,Volvo 260,11995,17,5.0,3170,193,Foreign,11755100,11755100
