id_reclamo,fecha,banco,area,texto
1,2025-03-01,BancoAndes,cobranza,BANCOANDES DE BANCOANDES NO ACEPTA RENEGOCIAR MI DEUDA EN CONDICIONES RAZONABLES.
2,2025-03-01,BancoAndes,post_venta,NADIE EN BANCOANDES NO RESPONDE MIS CONSULTAS DE SEGUIMIENTO SOBRE EL CRÉDITO QUE YA TENGO Y HASTA AHORA NADIE ME HA DADO UNA SOLUCIÓN.
3,2025-03-01,BancoAndes,post_venta,"BancoAndes no me da soporte con mis dudas después de contratar el producto ayer.
--
Atte, cliente BancoAndes"
4,2025-03-01,Banco Andes,ventas,Un vendedor telefonico de BancoAndes me ofrecio condiciones distintas a las que despues aparecieron en el contrato durante el fin de semana.
5,2025-03-01,BancoAndes,fraude_seguridad,"Alguien  logró  acceder a  mi  banca en línea  de BancoAndes  sin mi  consentimiento  ayer.   
Enviado desde mi celular Samsung"
6,2025-03-01,BancoAndes,fraude_seguridad,Un desconocido intento estafarme haciendose pasar por un ejecutivo de BancoAndes sin que nadie del banco se haga responsable durante el fin de semana.
7,2025-03-02,BancoAndes,tecnologia,El sitio web de BancoAndes se congela cada vez que intento hacer una transferencia y sigo esperando una respuesta.
8,2025-03-02,BancoAndes,post_venta,	El área de  post venta  no responde mis  consultas de  seguimiento sobre el crédito que ya tengo durante  el fin de semana.    😤 N° de reclamo anterior: RC-92880.
9,2025-03-02,Banco  Andes ,comercial,El equipo comercial no cumple las condiciones pactadas para la renovación de mi producto y hasta ahora nadie me ha dado una solución el mes pasado.
10,2025-03-02,BancoAndes,pre_venta,Un asesor de BancoAndes me dijo que me llamarían con más información y nunca lo hicieron. 😠
11,2025-03-02,BANCOANDES,pre_venta,El servicio de atención de BancoAndes no respondió mi solicitud de información sobre cuentas de ahorro sin que nadie del banco se haga responsable el mes pasado.
12,2025-03-03,BANCOANDES,ventas,Un asesor comercial de BancoAndes me llamo insistentemente para ofrecerme una tarjeta que no pedi.
13,2025-03-03,Banco  Andes ,ventas,Un representante de ventas de BancoAndes me presionó para aceptar un producto en la misma llamada esta semana???
14,2025-03-03,BancoAndes,comercial,El área comercial no aplica la tasa preferencial que se me ofreció al contratar y hasta ahora nadie me ha dado una solución ayer.
15,2025-03-04,BancoAndes,post_venta,El equipo de seguimiento ignora mis mensajes desde que activé la cuenta nueva durante el fin de semana.
16,2025-03-04,BancoAndes,post_venta,	BancoAndes no resuelve mi duda sobre el estado de mi solicitud ya aprobada y hasta ahora  nadie me ha  dado  una solución  ayer.
17,2025-03-04,BancoAndes,fraude_seguridad,	Alguien accedio a  mi cuenta de BancoAndes sin que yo lo autorizara ayer.
18,2025-03-05,BancoAndes,tecnologia,	La  aplicación  de BancoAndes lleva  días caída  y no puedo  ver mis movimientos.
19,2025-03-05,BancoAndes,tecnologia,La banca en linea de BancoAndes no envia el codigo de verificacion para iniciar sesion y no encuentro como resolverlo el mes pasado.
20,2025-03-05,BancoAndes,post_venta,	Nadie  en BancoAndes no  me contacta para revisar  cómo va  mi  producto contratado  y sigo esperando  una respuesta hace unos días.   
21,2025-03-05,BancoAndes,post_venta,El servicio de soporte no aclara mis dudas sobre las condiciones del crédito ya contratado y esto ya me tiene bastante molesto en las últimas semanas...
