Age,WorkClass,Education,EducationNum,MaritalStatus,Occupation,Race,Gender,CapitalGain,CapitalLoss,HoursPerWeek,Income
62,Federal-gov,5th-6th,6,Married-civ-spouse,Exec-managerial,Black,Female,0,0,50,0
48,State-gov,Masters,13,Married-AF-spouse,Exec-managerial,Asian-Pac-Islander,Male,0,0,89,0
34,Without-pay,Masters,14,Never-married,Other-service,Black,Male,0,0,34,0
38,State-gov,Doctorate,5,Never-married,Tech-support,White,Male,91335,45256,19,0
19,Local-gov,Bachelors,2,Married-civ-spouse,Exec-managerial,Other,Male,0,0,72,0
60,Self-emp-not-inc,11th,5,Separated,Craft-repair,Other,Male,0,43268,93,0
42,Self-emp-inc,Assoc-voc,14,Married-AF-spouse,Protective-serv,Asian-Pac-Islander,Female,79416,0,12,0
24,Private,1st-4th,2,Widowed,Farming-fishing,Black,Male,0,0,15,0
17,Without-pay,Some-college,2,Divorced,Transport-moving,Asian-Pac-Islander,Female,0,0,70,0
40,Local-gov,1st-4th,8,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,0,0,99,0
70,Federal-gov,10th,1,Widowed,Armed-Forces,White,Male,18970,0,67,0
25,Self-emp-not-inc,Some-college,15,Married-spouse-absent,Exec-managerial,Other,Male,46545,0,12,0
21,Self-emp-not-inc,11th,8,Married-civ-spouse,Farming-fishing,Other,Female,0,0,65,0
54,Self-emp-inc,7th-8th,4,Married-spouse-absent,Exec-managerial,Asian-Pac-Islander,Female,0,0,94,0
62,State-gov,Preschool,4,Separated,Armed-Forces,Other,Female,63775,0,64,0
78,Federal-gov,9th,7,Separated,Sales,Other,Female,0,48756,51,0
37,Federal-gov,Bachelors,6,Widowed,Other-service,Asian-Pac-Islander,Female,0,0,89,0
82,Private,11th,15,Married-spouse-absent,Handlers-cleaners,White,Female,0,0,83,0
85,Local-gov,Preschool,15,Never-married,Farming-fishing,Black,Male,0,0,18,0
58,Self-emp-not-inc,Doctorate,16,Separated,Other-service,Other,Female,0,0,4,0
87,Without-pay,11th,12,Married-spouse-absent,Transport-moving,White,Female,0,0,16,0
73,Private,Bachelors,11,Separated,Transport-moving,Black,Male,0,0,46,0
67,Self-emp-not-inc,5th-6th,15,Married-civ-spouse,Protective-serv,White,Female,0,0,84,0
63,Without-pay,1st-4th,1,Married-spouse-absent,Farming-fishing,Asian-Pac-Islander,Female,0,47137,24,0
83,Federal-gov,Doctorate,12,Married-spouse-absent,Machine-op-inspct,White,Male,0,0,26,0
19,Private,7th-8th,5,Never-married,Protective-serv,White,Male,0,26652,5,0
80,Self-emp-not-inc,10th,1,Separated,Protective-serv,Black,Female,0,0,25,0
69,Local-gov,11th,4,Married-spouse-absent,Transport-moving,White,Female,0,0,82,0
42,Private,9th,9,Married-AF-spouse,Other-service,Other,Female,0,0,58,0
63,Self-emp-inc,Doctorate,10,Married-civ-spouse,Priv-house-serv,Amer-Indian-Eskimo,Female,0,0,40,0
67,State-gov,Assoc-acdm,14,Married-spouse-absent,Armed-Forces,Other,Female,7514,0,64,0
43,Self-emp-not-inc,Some-college,9,Never-married,Sales,Amer-Indian-Eskimo,Female,0,0,84,0
71,Local-gov,Masters,12,Married-AF-spouse,Transport-moving,Asian-Pac-Islander,Female,0,0,95,0
46,State-gov,Assoc-acdm,14,Married-spouse-absent,Other-service,Other,Female,0,0,67,0
57,Self-emp-inc,9th,1,Married-AF-spouse,Protective-serv,Other,Female,0,0,66,0
54,Self-emp-inc,10th,14,Married-AF-spouse,Armed-Forces,Black,Male,87099,0,32,0
72,Local-gov,Assoc-voc,2,Never-married,Tech-support,Amer-Indian-Eskimo,Female,0,0,77,0
