SO2,NO2,O3,Temperature,Humidity,Pressure,WindSpeed,PM2_5
42.53,52.78,34.22,1.7,62.8,1019.3,4.6,50.5
34.65,2.74,2.02,18.0,34.0,1014.8,25.56,10
46.1,57.51,40.13,-8.2,37.7,1002.7,6.79,34.9
27.58,39.51,51.83,10.1,64.0,1013.8,1.96,43.4
50.75,34.28,60.04,35.1,67.5,1011.1,1.91,49.4
58.97,13.36,96.55,20.2,28.4,1003.9,0.25,69.8
31.56,38.65,12.1,24.8,80.6,1016.2,6.38,27.4
48.13,77.76,39.76,43.7,49.0,1021.2,2.83,55.7
34.69,66.96,38.56,13.5,23.7,1011.3,2.41,39.7
22.84,83.57,61.76,27.1,70.6,1027.0,3.9,48.4
38.95,14.36,7.26,18.8,45.6,1006.4,0.07,26.1
25.36,54.25,58.45,4.5,92.9,1024.2,1.92,64.1
41.21,46.92,65.5,36.2,60.9,1003.4,10.08,44.9
18.25,102.07,48.86,27.0,58.2,1010.1,4.96,56.6
54.9,73.54,28.9,14.5,67.7,1017.4,5.51,77.5
12.4,40.14,35.7,9.4,59.6,1017.1,0.11,44.1
42.4,54.27,41.1,22.7,56.4,1011.9,2.94,39.0
19.14,81.44,47.94,7.0,60.5,1023.0,0.88,63.2
25.35,78.52,52.92,5.1,39.8,1019.3,3.03,51.0
72.03,38.83,35.77,16.8,37.7,1007.0,0.32,72.2
26.11,72.04,51.85,15.7,38.1,1015.2,0.86,53.5
60.14,28.68,32.41,24.3,82.2,1022.5,21.42,17.3
29.04,8.35,68.4,-5.1,42.2,1006.0,1.28,40.7
48.92,43.52,25.76,27.1,47.5,1020.7,8.14,11.0
16.72,60.23,86.75,7.9,57.2,1023.7,14.5,12.9
47.64,17.19,43.83,21.6,44.4,1023.6,0.35,52.4
49.71,83.98,29.34,20.9,73.5,1011.4,8.74,51.2
29.74,59.0,39.14,27.2,76.7,1017.0,1.25,54.1
70.13,74.93,9.76,19.4,103.2,1010.3,4.92,73.2
58.83,29.6,54.29,14.9,88.8,999.8,2.18,65.5
20.46,66.12,30.07,-14.9,52.4,1025.0,3.17,38.2
40.94,29.77,59.56,11.9,42.3,1010.7,13.21,22.0
84.2,95.75,72.61,20.6,29.0,1008.4,0.7,91.1
55.42,105.92,64.17,8.3,59.4,1020.1,0.62,94.5
16.2,27.81,56.97,22.0,101.8,1017.7,0.33,59.7
56.45,42.44,33.81,15.5,68.5,1037.0,10.19,36.5
71.27,59.01,54.01,4.5,65.1,999.7,0.71,81.5
33.59,66.16,30.49,-5.2,35.4,1009.0,2.12,68.5
41.48,63.62,56.3,18.0,40.1,1008.8,3.56,47.2
27.8,59.13,54.57,13.7,65.3,988.8,2.4,51.5
64.01,55.49,30.43,16.3,73.5,981.1,2.76,47.0
33.89,43.74,54.15,4.4,59.2,1009.8,17.47,10
16.47,21.53,24.86,16.2,66.6,1018.4,0.87,26.4
35.1,48.25,22.79,12.1,76.1,1000.7,1.14,60.7
38.83,71.01,31.04,30.0,68.6,999.7,14.36,16.6
46.69,22.33,43.43,35.8,49.5,1019.4,3.51,41.5
54.28,37.62,14.82,13.1,23.4,1011.6,4.33,38.5
28.11,39.29,60.6,22.8,47.2,1017.3,13.76,24.9
49.08,47.8,52.65,22.7,53.4,1018.1,7.18,29.8
43.24,59.07,24.35,15.1,47.9,1006.2,3.16,42.7
53.22,33.15,45.02,14.8,45.0,1009.1,8.52,45.9
-4.12,72.97,24.05,2.9,19.6,1014.9,6.38,21.3
80.22,16.1,51.16,20.5,17.1,1012.9,15.43,26.4
64.65,40.14,20.84,22.0,66.5,1015.1,4.03,50.5
55.39,10.7,68.16,30.9,83.4,1002.5,1.25,55.3
24.83,63.1,74.28,25.9,83.2,1012.9,2.97,62.4
6.53,26.73,59.58,14.1,95.4,1017.9,8.36,12.2
12.69,7.19,56.87,31.0,40.1,1033.9,0.12,36.4
66.29,47.13,48.87,12.5,83.4,1016.8,2.97,78.5
72.47,54.15,42.04,7.2,61.4,1007.8,3.13,76.6
62.42,21.22,31.97,31.2,83.8,1004.1,3.82,43.3
56.94,46.75,67.98,2.9,70.0,1007.5,3.38,70.5
62.91,74.51,35.05,14.8,73.9,1005.7,1.29,61.8
70.08,49.92,54.0,-10.4,57.8,1023.5,7.61,34.6
27.44,67.41,63.82,24.9,59.7,1016.4,2.33,43.5
18.17,62.0,75.19,41.9,61.1,1020.3,5.41,58.0
50.37,39.05,36.46,28.4,83.8,1020.7,1.79,38.1
22.94,58.79,40.93,7.5,58.6,1027.4,1.57,56.0
54.07,53.91,29.55,25.7,49.5,1004.2,1.29,65.8
60.3,105.78,69.66,11.2,42.5,1010.4,25.38,12.6
18.72,70.01,58.82,14.8,65.7,1009.1,0.42,64.3
29.86,39.79,5.81,2.8,81.5,1025.5,3.21,31.9
37.98,38.15,78.96,10.5,40.1,1021.0,2.76,54.2
41.77,47.04,90.59,13.0,66.2,1031.0,14.96,26.4
17.24,82.64,68.97,28.2,53.7,1004.7,7.15,41.4
41.09,50.6,25.16,6.6,64.9,1009.4,5.69,42.0
28.05,25.3,37.88,-1.6,40.0,1019.2,4.95,18.9
55.11,34.73,50.09,41.5,73.6,1012.1,0.57,90.4
77.88,28.3,39.12,8.1,62.0,997.0,6.81,55.5
53.01,11.69,9.72,25.6,70.9,1011.8,2.22,38.0
39.22,-9.64,96.73,2.4,47.3,1022.7,3.68,40.8
55.73,36.87,50.35,23.2,71.7,1006.0,3.84,58.4
34.73,92.27,43.02,26.1,47.8,996.4,0.87,72.6
52.3,94.73,51.88,23.5,54.8,1022.5,5.23,79.6
37.61,75.15,41.99,0.4,59.1,1004.3,4.11,60.7
44.09,26.54,76.53,3.3,67.7,1025.9,3.2,55.8
35.72,26.47,19.2,40.5,79.9,1013.0,9.37,10
54.7,75.99,69.05,14.8,63.4,1018.0,5.33,52.8
56.06,38.08,41.81,3.9,43.2,1013.2,2.53,53.5
62.73,44.36,38.85,31.0,60.7,999.8,4.09,49.7
5.55,58.85,54.9,20.7,50.0,1009.1,1.53,44.1
40.65,30.03,74.66,28.8,72.8,1037.0,3.68,40.9
72.34,44.51,20.42,-2.7,55.3,1010.1,0.5,70.2
-9.73,-7.82,21.51,23.1,30.2,1023.4,0.98,10
35.98,42.5,47.24,29.1,62.8,1016.7,4.4,54.9
65.85,91.61,28.02,5.0,78.5,1018.5,0.23,104.8
13.04,67.37,25.28,15.1,99.4,1028.8,8.89,27.0
30.36,-8.69,53.44,24.7,88.3,1006.3,8.33,10
17.22,43.25,0.94,8.3,51.8,1002.9,11.26,10.4
42.78,81.2,54.04,20.2,81.4,1004.3,6.54,62.9
44.39,17.42,56.68,28.0,36.7,1000.1,1.07,45.4
47.51,72.93,32.35,6.8,76.5,1019.8,7.85,66.8
7.25,45.9,36.35,27.0,74.3,1017.4,9.06,10
28.79,46.6,34.33,6.9,64.4,1004.1,1.78,41.1
44.85,71.38,82.14,19.3,51.6,1023.5,0.96,80.7
37.66,41.42,66.96,3.2,41.4,1028.3,3.9,59.1
-4.89,3.78,62.43,7.3,60.5,1011.1,1.78,19.3
60.9,48.69,78.14,11.6,76.1,1020.4,1.7,62.3
74.25,37.8,66.12,16.3,54.0,1029.0,4.99,75.8
62.03,18.78,66.99,10.2,31.4,1016.8,1.6,74.1
26.39,15.85,59.94,15.6,56.3,1015.5,2.63,36.8
25.34,105.05,22.57,26.7,47.9,1014.6,5.8,43.0
47.9,-0.39,-5.51,9.3,88.9,1027.9,1.86,10
57.93,45.9,74.99,22.1,68.2,1002.7,3.37,83.7
58.38,34.41,45.83,-5.9,67.3,1013.3,6.37,51.3
42.72,55.98,69.88,15.1,59.5,1009.0,11.11,34.0
36.44,59.79,50.47,24.3,70.8,1006.1,0.46,77.2
-10.98,35.3,25.87,5.1,52.0,1019.9,11.6,10
39.21,89.78,63.05,20.1,53.8,1033.1,10.53,57.5
37.34,37.24,43.71,-6.4,52.7,1026.1,1.17,50.7
43.37,16.14,32.28,22.0,81.0,1004.7,2.27,35.8
8.18,83.21,37.03,16.6,40.0,1029.2,0.4,58.6
40.16,43.69,13.17,20.5,73.6,1011.2,1.83,31.9
41.56,42.34,58.59,39.9,85.3,997.3,6.74,49.4
26.53,38.67,50.63,6.0,25.9,1014.6,2.75,30.9
20.96,33.48,31.89,8.6,56.0,1012.5,1.4,40.3
8.27,50.02,33.64,10.2,85.8,1022.2,3.51,47.7
68.3,76.29,44.21,4.4,50.7,1006.8,3.61,72.8
13.68,52.53,60.43,14.4,45.8,1023.8,3.7,50.4
33.29,57.15,65.11,6.6,47.7,1027.7,1.86,68.7
45.78,22.1,32.78,27.0,52.3,1039.2,4.27,39.5
79.43,21.12,33.29,8.2,80.4,1003.3,1.05,70.6
36.31,58.18,57.9,18.0,48.2,1027.2,1.35,67.2
116.29,54.64,36.7,26.4,39.6,1026.4,4.78,91.3
