CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
3.4002,0,14.84,0,0.7,6.2,29,0.8828,1,390,21.0,333.19,16.3,8.6
0.8082,0,8.84,0,0.51,6.24,50,0.2736,5,557,19.4,264.17,9.85,9.7
1.0856,0,15.79,1,0.47,6.46,95,0.936,24,575,19.3,237.6,18.72,5.6
0.7968,0,-3.67,1,0.46,6.94,97,2.9283,8,557,18.5,451.69,11.6,12.8
6.5723,0,13.45,1,0.63,6.01,2,10.2504,5,699,20.3,192.02,20.93,5
0.5873,0,13.32,0,0.65,6.28,99,2.536,3,318,16.1,459.26,8.91,7.8
2.0018,0,6.01,0,0.57,6.57,10,7.861,6,259,18.6,351.06,13.81,8.9
0.3303,0,9.56,1,0.64,6.71,26,0.7033,24,330,18.1,291.97,13.24,10.8
2.2161,0,-6.91,1,0.4,7.58,86,4.2243,3,381,19.1,397.06,14.63,7.7
10.7951,0,-8.79,0,0.57,6.41,35,0.7616,6,431,17.6,397.85,13.44,11.3
0.4736,0,9.14,1,0.64,5.24,36,1.1032,4,538,15.7,283.96,4.11,19.5
1.0125,0,8.63,0,0.6,5.42,72,0.5343,3,229,20.2,312.42,9.64,14.9
5.1607,0,9.53,1,0.24,6.23,31,0.8407,4,595,14.2,457.11,15.43,7.4
0.3825,0,2.32,1,0.59,5.97,34,0.1513,8,188,18.9,402.09,-3.54,23.4
3.6294,0,14.77,1,0.6,6.83,26,1.8183,8,365,19.1,297.65,15.38,7.0
0.8014,0,19.31,1,0.56,5.21,98,0.8924,5,417,19.7,431.03,7.9,14.2
1.6149,0,2.06,0,0.25,6.74,73,0.9554,2,654,16.2,367.02,3.64,10.0
7.4194,0,19.78,0,0.65,5.92,83,1.0826,24,431,17.7,310.07,7.89,11.1
3.9467,0,5.13,1,0.57,5.69,100,2.9242,1,576,17.1,304.46,14.33,10.5
2.2161,0,4.87,1,0.84,6.74,77,2.77,1,272,19.1,349.7,10.76,10.6
1.5888,0,20.37,0,0.53,5.94,85,0.137,1,440,17.1,416.67,1.33,15.8
3.1153,0,22.8,0,0.41,5.86,11,2.9891,4,291,19.5,503.91,20.8,5
3.611,0,11.11,1,0.62,7.65,57,0.6458,5,682,17.8,377.3,7.77,11.9
3.6773,0,6.15,1,0.28,6.63,3,2.4232,4,274,17.0,367.34,11.6,6.9
1.1616,0,14.32,1,0.54,5.95,44,1.4452,24,464,17.6,406.47,15.42,9.5
2.9686,0,11.41,0,0.65,6.06,92,2.5462,5,233,19.3,468.98,23.11,5.5
0.6793,0,10.77,0,0.43,6.05,81,0.8526,8,648,20.5,380.2,13.48,10.8
1.0247,0,6.02,0,0.43,6.73,6,0.8776,5,651,16.6,179.92,18.1,5
0.8488,0,1.8,1,0.53,5.91,36,2.3136,24,635,18.2,313.11,30.95,5
3.5138,0,1.78,1,0.73,6.14,15,6.5002,6,608,19.4,370.35,9.31,16.9
2.4092,0,15.14,1,0.36,6.59,58,4.7569,4,460,20.8,323.98,14.32,5
2.6784,0,13.1,1,0.55,5.61,51,0.7049,3,258,14.8,154.05,13.12,9.4
2.9472,0,10.85,1,0.48,6.4,43,6.7905,4,579,14.4,525.88,8.53,10.6
2.3258,0,8.76,1,0.42,6.17,44,6.3762,8,511,22.4,351.9,14.44,8.7
0.8604,0,10.12,0,0.51,6.8,49,1.8777,4,608,19.6,508.23,4.65,11.0
0.0315,67,10.41,0,0.54,5.54,47,2.8507,5,209,16.7,469.6,12.19,7.5
3.1137,0,6.83,1,0.68,7.48,82,0.3407,1,503,18.0,450.98,11.33,8.6
1.0606,0,-5.65,1,0.69,6.26,98,11.3207,8,561,16.2,314.04,6.31,14.4
3.3921,0,4.86,0,0.46,6.79,61,8.0039,5,605,16.8,365.59,17.73,6.8
7.2214,0,1.57,1,0.68,6.59,58,10.023,6,288,21.1,532.56,5.31,16.0
0.7946,0,12.19,1,0.49,6.38,99,2.693,4,425,17.8,421.42,6.67,8.3
0.0871,0,2.95,1,0.42,6.2,77,0.3849,4,231,19.3,379.1,11.61,11.0
7.6509,0,12.39,1,0.61,6.71,78,2.5207,24,704,18.9,569.99,20.44,6.2
