Longitude,Latitude,HousingMedianAge,TotalRooms,TotalBedrooms,Population,Households,MedianIncome,MedianHouseValue
-116.2864,36.1883,21,847,384,2173,509,2.27,500000
-114.5533,33.4938,45,8620,4014,412,144,10.41,500000
-115.64,37.1653,8,4864,1515,5589,1845,0.22,115449.49
-116.0265,38.8445,40,920,301,4965,1648,3.09,500000
-116.8097,34.1802,28,3407,1162,9946,2315,0.97,387386.6
-120.9028,33.3463,6,419,128,7255,2204,5.19,500000
-116.6333,32.6813,10,2944,1191,7139,1742,1.96,500000
-115.5003,35.7626,14,17599,7037,1980,614,15.44,500000
-117.3894,40.617,22,2630,1309,919,359,13.23,500000
-115.8478,40.5133,8,2920,1416,4342,1130,11.27,500000
-124.0286,39.0992,13,347,114,2924,932,15.54,500000
-116.2835,37.1033,9,2657,1116,1040,383,5.35,500000
-116.6724,37.1182,51,23433,9519,7241,1828,0.99,500000
-121.4326,41.3419,43,1061,441,8271,3035,0.6,292192.66
-124.1932,40.4369,40,409,152,2586,845,0.93,358754.93
-117.0624,39.9026,15,1184,476,22791,6471,2.02,500000
-124.118,39.5234,24,15150,5437,3765,1025,2.07,500000
-123.4838,34.7775,18,6455,2369,15401,5956,1.58,500000
-118.1178,37.0206,5,228,91,2183,683,3.78,500000
-121.6713,33.1227,49,3662,1365,6130,1897,2.26,500000
-114.5174,41.5447,36,291,88,1255,286,6.52,500000
-116.7248,40.0199,13,8741,2672,3465,1173,0.69,293656.35
-116.0694,41.8713,31,11623,4864,3527,899,8.34,500000
-122.0115,34.7571,39,2648,849,11076,3045,3.99,500000
-122.2936,40.0439,45,7212,3352,11062,2999,3.14,500000
-117.6775,38.5027,26,16548,5484,31907,11526,6.11,500000
-121.4074,36.227,31,3591,1588,6929,2295,6.71,500000
-120.3241,36.9798,6,1753,706,2333,604,9.47,500000
-119.1464,33.9233,21,4339,1823,20484,5364,2.38,500000
-116.8653,37.7548,36,1300,588,10434,2390,10.93,500000
-116.8468,40.5784,47,1805,827,27670,10689,7.91,500000
-122.4855,36.2979,32,1388,580,24803,8938,2.86,500000
-117.0669,37.6814,48,184,58,6112,1548,1.13,500000
-122.7831,33.3723,31,9758,2927,7113,1630,0.4,180007.14
-122.0932,41.4372,37,304,124,7199,2831,0.87,470652.65
-122.6489,39.0323,20,1682,715,5754,2236,2.19,500000
-121.8381,36.2354,43,2516,885,4360,1652,0.91,372398.56
-116.5692,32.5861,46,10755,5137,4144,1509,3.69,500000
-123.6695,34.589,38,2020,930,4996,1024,3.8,500000
-115.6569,34.1544,45,3244,1030,13490,5106,6.15,500000
-115.6173,33.9567,31,1551,550,13514,5027,0.67,352097.51
-119.1803,40.7704,50,17565,8082,15450,4771,1.32,500000
-122.3214,37.661,38,927,329,10119,2588,1.26,500000
-122.3346,36.6121,36,2339,999,4804,1606,9.89,500000
-117.9791,34.0133,22,3972,1866,6327,1470,0.99,468981.82
-122.7471,37.8338,32,3481,1695,7190,2608,3.99,500000
-114.7975,35.9069,46,8809,3996,1883,667,0.2,95504.97
-115.2048,38.4442,43,4671,1546,59,23,3.29,500000
-119.0932,33.3649,34,1892,835,12383,2842,3.08,500000
-122.8686,35.6491,38,489,179,3702,934,6.57,500000
-118.1728,38.7185,15,3533,1205,8524,2844,7.21,500000
-119.1837,33.476,8,4108,1258,905,334,5.59,500000
-117.8775,32.6468,13,2077,680,25611,6389,1.57,500000
-118.9303,32.7815,6,2990,1364,1939,565,9.79,500000
-116.9164,33.8157,28,5325,1861,679,199,0.91,298717.67
-119.841,33.6248,35,5998,2641,17545,6314,11.46,500000
-116.6817,32.5741,17,3761,1577,9346,2854,3.45,500000
-119.4583,41.7767,47,2549,1224,12131,4553,1.54,500000
-116.8214,37.189,11,4488,1935,8510,2130,2.97,500000
-123.13,40.0138,50,8058,2705,25769,7368,8.32,500000
-124.1507,40.0939,8,7189,3376,15006,4464,6.55,500000
-115.2206,38.0368,13,1480,506,6674,2425,9.76,500000
-116.0005,36.0685,52,1784,557,9260,2591,2.49,500000
-117.0902,34.0311,2,865,259,13261,5232,4.98,500000
-115.6997,34.471,45,468,161,2213,585,7.03,500000
-120.8882,41.651,38,5274,2312,34565,11967,5.73,500000
-116.2064,34.883,12,5859,2272,22942,5439,5.64,500000
-123.0152,40.8655,13,3938,1801,2734,780,11.01,500000
-116.5578,38.0695,2,4555,2217,10836,4246,0.71,354938.97
-116.3573,34.0208,41,2259,890,3309,731,2.31,500000
-121.318,32.5891,35,6457,3109,1041,391,1.89,500000
-121.9224,39.5977,21,1382,465,4334,1398,0.43,179212.74
-120.8576,41.7775,28,5774,2666,2209,492,1.56,500000
-114.9117,37.9222,10,6118,1906,35567,13277,3.25,500000
-120.6574,38.6676,1,2825,1029,4703,1526,12.38,500000
-121.7816,35.9332,17,14443,4879,13463,4146,0.32,128733.52
-123.4242,37.5356,9,358,178,3173,943,2.6,500000
-122.3597,41.5948,8,12191,3661,5538,1930,1.11,500000
-120.42,39.5283,25,7815,3800,1619,415,2.44,500000
-119.1212,34.6761,19,6475,3191,685,204,12.84,500000
-115.2214,36.2963,37,3701,1829,9022,2942,1.8,500000
-122.6391,35.0925,44,2350,713,234,68,1.27,500000
-121.4625,35.3884,41,375,152,1111,234,11.65,500000
-118.9452,35.5132,29,1209,600,10027,2659,15.61,500000
-117.4966,40.337,43,3968,1294,6043,1335,2.69,500000
-119.6062,35.3065,34,1405,533,37712,11663,7.93,500000
-114.7589,38.8953,31,6125,2787,2181,464,0.85,373024.74
-115.322,40.5668,43,174,80,3191,698,0.68,253992.0
-124.0804,35.9447,43,2401,977,5693,1482,0.05,15000
-123.7254,38.0807,3,612,210,11478,4444,3.31,500000
-115.9313,41.5675,29,6087,1931,5564,1962,3.27,500000
-120.1937,38.1096,6,5804,2607,1302,502,6.61,500000
-115.6099,39.233,28,1085,507,19604,4480,0.91,365409.87
-123.7231,35.783,4,2918,1069,13117,2644,3.3,500000
-121.5888,33.9923,25,1553,638,7387,2315,0.26,110770.32
-120.0934,37.3308,25,2676,1122,1164,352,5.97,500000
-117.2401,36.8996,25,9243,3023,905,319,11.68,500000
-115.3539,35.8649,27,7763,2869,2243,624,2.9,500000
-115.5535,35.5358,19,1484,666,4385,1248,5.57,500000
-115.9549,40.6609,8,10616,4379,4066,1067,2.82,500000
-120.7236,35.2589,41,24513,10751,2532,710,6.7,500000
-121.4543,33.0232,35,3388,1226,1770,417,13.69,500000
-115.2312,41.6857,34,661,257,2829,708,1.29,500000
-123.9503,34.1336,26,3568,1465,5583,1250,1.44,500000
-123.3042,34.8024,32,1208,493,6723,1551,4.92,500000
-116.4128,35.3048,16,840,253,4200,1418,1.55,500000
-118.9758,39.5478,35,15277,6544,826,327,15.68,500000
-121.4922,40.1678,51,10992,5274,2938,1139,5.46,500000
-121.1297,37.7604,22,599,186,10,2,6.97,500000
-117.616,35.028,3,2992,935,28454,8135,7.24,500000
-119.387,37.8272,17,3597,1309,11430,4469,5.45,500000
-117.3676,37.9689,28,1392,666,7374,2119,9.79,500000
-122.7444,33.9561,20,469,223,5860,1582,12.46,500000
-120.0562,37.0367,24,1239,607,1490,333,0.04,97367.97
-123.6689,36.6438,45,4485,1479,6625,1814,3.24,500000
-117.6631,32.8414,50,353,139,16800,5899,9.5,500000
-117.9543,33.8181,52,1608,625,9331,2284,3.81,500000
-123.4285,33.0266,28,3418,1405,45686,13569,13.43,500000
-118.5815,37.3876,48,6857,2845,12730,4569,7.57,500000
-118.9573,35.5258,15,5202,2385,358,96,1.25,500000
-119.851,41.1532,18,257,121,1542,575,1.46,500000
-115.7264,36.5973,28,6254,1901,20808,8318,2.6,500000
