Year,Mileage,EngineSize,BHP,Seats,Doors,Transmission,FuelType,Price
2017,117465,1.4,114,7,4,Automatic,Electric,38775.96
2016,124614,1.3,204,5,5,Manual,Electric,41755.03
2004,162807,2.2,131,7,4,Automatic,Hybrid,25061.73
2007,106042,2.8,189,7,4,Manual,Diesel,21724.64
2009,170898,1.0,61,2,2,Automatic,Petrol,16307.28
2006,80295,3.7,-40,5,2,Automatic,Hybrid,23973.59
2002,193534,2.7,132,7,4,Manual,Diesel,22123.11
2006,49999,4.1,124,2,5,Automatic,Hybrid,42554.61
2020,214943,2.3,40,4,5,Automatic,Diesel,15613.53
2010,151137,4.7,194,2,5,Manual,Hybrid,40965.43
2016,21892,3.8,131,4,4,Automatic,Hybrid,44809.47
2007,82782,3.5,100,2,2,Manual,Electric,40791.44
2018,201283,3.8,206,2,2,Automatic,Petrol,33475.62
2011,36551,1.2,59,2,2,Manual,Hybrid,34877.67
2020,201209,2.1,163,5,5,Manual,Petrol,24394.19
2000,49041,4.5,153,5,4,Automatic,Petrol,25731.85
2015,71141,1.5,114,7,2,Automatic,Diesel,21932.14
2007,221872,4.0,62,5,5,Automatic,Electric,32603.25
2005,249567,0.9,50,7,5,Manual,Electric,18000
2001,26217,2.2,159,7,2,Automatic,Hybrid,39832.94
2002,33222,3.0,84,2,4,Manual,Diesel,19650.36
2001,150214,0.9,173,5,5,Automatic,Petrol,11425.86
2003,56519,0.9,215,4,5,Automatic,Hybrid,32628.18
2008,204893,4.1,164,5,5,Automatic,Hybrid,39388.62
2013,246050,0.9,182,7,2,Automatic,Hybrid,28070.23
2000,35241,3.8,116,2,5,Manual,Petrol,16141.49
2000,21864,3.3,46,7,5,Automatic,Diesel,23051.05
2020,184762,0.9,191,4,4,Manual,Diesel,25559.28
2009,211531,3.1,185,4,4,Manual,Hybrid,31425.3
2014,191456,4.0,42,5,4,Automatic,Hybrid,26709.97
2017,65575,4.9,158,5,5,Manual,Petrol,40334.53
2000,29817,2.6,80,5,4,Automatic,Diesel,5000
2002,57404,2.9,135,7,5,Automatic,Petrol,24772.37
2020,120387,3.5,94,2,5,Manual,Electric,43832.29
2008,241624,3.1,120,5,2,Automatic,Hybrid,25529.61
2012,16584,2.7,35,4,2,Manual,Diesel,27769.35
2004,4498,2.1,23,2,2,Automatic,Electric,35026.99
2014,244623,2.1,84,2,2,Manual,Petrol,8887.36
