Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Strength
127,247,11,170,3.72,932,601,7,10.53
429,173,150,174,0.37,980,860,28,13.29
491,300,200,223,31.33,812,898,365,85
111,138,136,186,25.98,948,867,365,85
470,33,136,134,15.86,966,819,365,75.0
168,221,166,148,25.47,1107,951,365,85
221,331,12,149,13.57,1116,952,1,32.71
326,128,55,145,9.52,804,884,365,63.34
275,172,7,135,22.24,1145,696,7,56.25
170,350,124,210,9.24,1017,950,7,20.88
112,74,100,235,3.97,825,656,28,22.64
179,195,53,236,5.42,843,617,90,29.25
536,321,86,181,15.16,1081,738,90,49.89
485,356,22,132,16.59,1001,855,7,42.15
482,155,11,131,24.97,1080,641,28,63.03
327,131,27,191,29.15,1058,946,7,64.82
507,52,198,145,24.0,1103,732,180,70.94
493,71,119,174,22.36,939,701,180,69.31
330,53,136,223,22.16,1071,799,365,85
245,241,59,228,14.93,971,829,1,31.98
507,228,47,178,8.45,1034,898,7,19.69
521,307,138,124,14.15,866,720,7,37.17
452,74,185,134,10.61,939,984,7,33.13
403,349,151,178,14.47,811,732,365,72.98
212,202,69,145,4.83,989,882,1,14.83
360,234,115,162,24.24,934,962,180,66.45
246,76,17,224,0.12,1106,889,90,15.43
272,235,104,211,0.15,1093,801,365,41.16
301,351,113,194,6.55,1098,883,365,56.77
428,16,199,211,27.26,1053,891,180,81.44
392,249,188,208,29.94,1107,916,7,70.65
475,295,130,247,7.5,925,860,1,24.61
168,143,1,185,23.78,842,906,28,56.95
463,193,66,220,12.65,947,723,28,31.55
474,91,37,240,20.62,969,605,28,49.76
479,267,133,227,21.14,1057,878,1,50.44
248,92,1,124,4.08,1092,970,7,8.09
215,338,115,231,31.21,952,683,365,85
439,263,15,221,3.93,1037,685,365,50.15
384,151,8,221,23.62,1093,800,180,73.91
216,270,175,234,10.77,1122,832,28,31.14
179,6,124,138,2.75,963,886,365,50.64
270,196,1,143,29.26,877,731,90,74.82
430,353,21,151,25.01,898,831,180,74.99
417,351,104,156,31.54,876,887,7,73.47
