X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
0.94,4,0.92,0.2,0.1,0.19,5,3.38,14.16,13.3
0.77,8,0.78,0.22,0.3,0.22,1,1.48,12.1,12.64
0.67,2,0.74,0.02,0.09,0.98,4,1.82,10,10
0.69,8,0.85,0.38,0.2,0.57,2,1.41,10,10
0.76,7,0.96,0.07,0.28,0.73,1,4.64,10,10
0.8,8,0.84,0.17,0.2,0.39,5,4.42,10,10
0.94,2,0.87,0.08,0.04,0.62,4,3.95,12.51,10
0.96,8,0.66,0.23,0.02,0.86,2,3.49,11.36,10
0.77,2,0.97,0.3,0.24,0.54,4,4.79,10,10.41
0.73,7,0.65,0.31,0.23,0.57,3,2.53,10,10
0.96,1,0.95,0.2,0.24,0.04,4,1.06,14.44,13.81
0.92,2,0.65,0.02,0.14,0.02,5,1.56,12.62,13.78
0.83,6,0.87,0.33,0.21,0.14,5,1.62,13.91,10.45
0.82,4,0.7,0.22,0.2,0.07,5,1.48,10.66,12.35
0.89,4,0.81,0.26,0.18,0.44,3,2.56,11.13,10
0.85,5,0.69,0.24,0.11,0.87,3,2.32,10,10
0.79,4,0.63,0.16,0.25,0.38,0,2.24,12.58,11.41
0.84,2,0.83,0.28,0.04,0.17,4,3.06,12.96,10
0.65,2,0.89,0.03,0.29,0.44,3,2.0,10,10
0.97,1,0.93,0.11,0.25,0.17,0,4.3,13.54,10
0.97,5,0.89,0.04,0.24,0.09,3,3.37,14.8,13.49
0.71,2,0.69,0.01,0.27,0.32,5,3.66,10,10
0.77,6,0.84,0.05,0.1,0.36,4,1.84,10,10
0.65,2,0.77,0.31,0.08,0.43,4,2.1,10,10.29
0.96,6,0.87,0.34,0.17,0.53,0,4.31,10.76,11.22
0.74,7,0.8,0.2,0.0,0.78,0,3.15,10.43,10
0.65,8,0.91,0.16,0.04,0.1,4,3.33,10.49,10.99
0.79,8,0.96,0.22,0.26,0.2,4,1.92,11.96,12.28
0.65,5,0.79,0.4,0.3,0.55,1,4.99,10,10
0.65,5,0.89,0.01,0.23,0.31,4,2.86,10.08,10.84
0.7,1,0.89,0.37,0.18,0.42,5,3.92,10,10
