CapShape,CapSurface,CapColor,Bruises,Odor,GillAttachment,GillSpacing,GillSize,GillColor,StalkShape,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilType,VeilColor,RingNumber,RingType,SporeColor,Population,Habitat,Edible
b,s,n,t,n,d,w,b,r,t,?,k,s,w,w,p,w,o,n,n,s,m,0
x,y,r,b,f,n,d,n,u,b,z,y,k,b,b,u,y,n,l,o,t,g,0
k,g,u,t,a,d,d,b,e,t,r,f,k,b,e,p,n,t,l,u,n,w,0
b,f,u,b,f,a,w,b,n,b,?,k,k,g,w,p,n,n,c,h,t,u,0
s,y,n,b,c,d,w,n,r,t,u,s,f,w,p,u,o,t,z,h,n,u,0
k,y,c,b,l,d,c,b,g,b,?,k,k,p,n,p,o,t,s,o,v,l,0
f,f,e,t,a,n,d,b,k,b,z,f,s,c,n,p,w,t,e,b,n,d,0
b,f,w,t,l,d,d,n,p,t,r,s,s,g,c,p,n,o,e,n,v,d,0
f,s,p,t,l,f,c,n,p,b,z,f,y,o,c,u,w,t,e,u,t,l,0
b,s,r,b,y,a,w,b,w,b,r,f,k,p,b,u,o,n,f,r,t,m,0
b,g,b,t,s,d,c,n,p,b,?,f,s,c,e,u,w,n,e,y,n,d,0
c,s,b,b,a,d,d,n,e,t,u,s,f,n,p,u,w,o,f,o,a,l,0
c,s,y,b,a,d,c,b,u,t,u,k,s,c,n,p,n,n,c,u,n,u,0
k,g,g,b,f,d,c,n,o,t,?,k,k,o,c,p,w,n,e,w,c,m,0
f,g,n,t,l,n,w,b,g,t,c,f,s,b,b,u,n,o,s,k,n,d,0
c,y,y,t,a,a,d,b,r,t,c,y,k,o,b,p,y,n,l,u,s,d,0
x,f,g,b,n,n,c,n,p,t,c,k,y,b,y,u,w,o,s,o,s,u,0
f,s,y,b,s,d,d,n,b,t,?,s,y,b,b,u,y,n,c,y,t,u,0
x,s,b,b,m,n,w,b,n,b,?,s,s,c,b,u,n,o,p,u,t,w,0
f,y,w,b,p,d,d,n,o,t,e,f,k,w,g,u,o,o,f,r,s,g,0
k,y,p,t,p,a,d,b,p,b,r,k,s,e,p,p,o,o,n,k,v,m,0
c,y,y,b,l,a,w,n,e,t,c,s,y,o,g,p,y,o,f,u,c,m,0
x,s,p,b,l,n,d,n,p,t,e,k,k,y,y,p,o,o,z,n,v,u,0
k,s,b,b,l,n,c,b,b,t,?,f,f,g,y,u,o,o,p,k,t,g,0
x,f,c,b,n,a,d,n,u,b,?,s,f,y,n,p,n,o,c,n,n,u,0
