CulmenLength,CulmenDepth,FlipperLength,BodyMass,Species
36.3,18.1,180.5,4370,Adelie
38.9,19.9,182.0,3692,Adelie
38.8,16.3,196.8,4219,Adelie
38.5,17.4,197.3,4363,Adelie
41.6,19.0,208.6,4189,Adelie
36.5,16.9,201.1,3303,Adelie
41.1,16.6,189.9,3859,Adelie
36.4,21.0,178.4,4250,Adelie
37.0,19.2,192.5,3446,Adelie
41.5,21.0,189.0,3791,Adelie
43.9,19.6,175.5,3833,Adelie
34.2,20.1,178.7,2765,Adelie
38.1,16.9,206.5,3777,Adelie
39.1,17.5,177.7,3349,Adelie
36.2,18.1,186.3,3584,Adelie
37.9,18.2,178.2,3301,Adelie
35.4,20.5,190.8,3335,Adelie
43.8,17.5,193.7,4360,Adelie
37.0,16.6,180.5,3900,Adelie
39.6,18.6,192.5,4298,Adelie
40.7,17.4,193.9,3560,Adelie
38.3,18.0,199.2,4014,Adelie
36.8,18.1,187.6,3590,Adelie
39.7,17.4,178.5,3804,Adelie
38.7,18.7,190.5,2923,Adelie
34.9,16.4,191.8,2643,Adelie
34.5,18.5,191.7,3371,Adelie
35.9,18.0,185.3,3539,Adelie
37.5,18.1,192.3,3735,Adelie
34.9,17.4,173.2,4177,Adelie
42.0,19.0,185.1,3009,Adelie
42.1,16.3,198.1,3568,Adelie
37.7,18.8,197.9,3965,Adelie
38.8,19.3,174.2,3428,Adelie
33.8,17.8,176.8,3888,Adelie
39.6,16.1,190.3,3684,Adelie
39.2,18.9,178.6,3177,Adelie
38.3,14.8,201.8,3329,Adelie
38.4,19.5,191.2,2844,Adelie
40.3,18.7,204.2,3445,Adelie
41.9,19.0,184.6,3053,Adelie
40.2,17.0,177.1,3162,Adelie
41.0,17.9,186.7,3627,Adelie
38.2,17.9,202.8,3024,Adelie
39.5,19.2,180.9,4060,Adelie
40.3,18.2,191.0,3631,Adelie
42.1,19.2,194.6,3578,Adelie
39.7,19.5,191.3,2661,Adelie
41.8,18.8,191.9,4426,Adelie
37.7,20.9,203.7,3928,Adelie
36.6,18.5,191.8,3139,Adelie
35.8,17.6,188.6,3132,Adelie
42.8,16.6,196.4,3502,Adelie
40.8,18.0,198.5,3416,Adelie
34.7,18.7,192.0,4633,Adelie
38.4,19.0,177.6,3790,Adelie
36.6,18.0,208.6,3508,Adelie
39.0,19.0,184.2,3514,Adelie
37.5,18.9,201.3,4665,Adelie
37.1,15.3,187.6,3594,Adelie
43.0,18.2,185.7,4040,Adelie
36.3,15.5,198.9,3423,Adelie
38.4,19.1,181.1,3571,Adelie
46.2,19.7,170.9,4394,Adelie
36.2,17.1,199.1,3729,Adelie
38.3,17.0,195.2,3727,Adelie
38.5,19.7,190.6,3928,Adelie
37.3,19.6,185.3,2979,Adelie
36.2,18.8,192.2,4959,Adelie
37.2,17.9,200.7,3414,Adelie
41.3,19.3,172.2,3932,Adelie
38.2,17.6,164.5,3225,Adelie
39.6,19.5,180.2,3905,Adelie
41.1,18.1,180.8,3448,Adelie
34.3,16.8,185.4,3171,Adelie
37.4,20.9,187.7,3786,Adelie
34.7,20.8,218.4,2967,Adelie
37.7,19.2,194.8,4105,Adelie
42.5,19.2,187.7,3256,Adelie
40.7,22.3,193.9,3954,Adelie
36.1,17.7,190.3,3474,Adelie
38.5,19.4,188.1,3539,Adelie
40.5,18.5,199.7,3528,Adelie
37.9,17.3,193.3,4929,Adelie
37.9,18.3,201.4,3848,Adelie
43.4,15.4,180.7,4360,Adelie
41.9,16.2,190.2,4540,Adelie
39.1,19.9,200.2,4254,Adelie
32.8,17.9,196.2,3795,Adelie
32.6,16.4,197.5,3814,Adelie
39.4,19.6,179.8,3165,Adelie
40.1,19.1,190.4,3743,Adelie
36.3,18.6,184.2,3434,Adelie
37.4,18.3,221.6,3329,Adelie
39.7,16.8,179.1,3918,Adelie
35.8,19.9,205.7,3927,Adelie
44.1,18.7,183.9,3338,Adelie
41.3,19.6,199.4,3880,Adelie
42.8,18.3,197.6,4309,Adelie
37.4,18.2,182.9,3464,Adelie
39.2,17.3,185.0,3983,Adelie
36.5,17.0,210.9,3308,Adelie
41.0,16.8,198.3,4063,Adelie
38.3,18.5,178.1,2634,Adelie
38.5,17.8,193.4,3677,Adelie
41.5,19.7,187.6,4353,Adelie
41.1,18.3,194.6,3287,Adelie
33.6,21.0,178.0,3835,Adelie
37.6,20.4,215.7,4084,Adelie
37.3,19.5,188.4,3647,Adelie
37.2,18.8,188.2,3305,Adelie
38.4,17.1,202.2,3352,Adelie
38.1,15.4,185.6,3181,Adelie
42.1,18.0,182.9,3198,Adelie
36.6,19.2,197.4,4061,Adelie
36.3,20.9,210.0,3255,Adelie
