Company_ID,Company_Name,Industry,Years_Operating,Employees,R&D_Investment,Marketing_Spend,Operating_Costs,Revenue,Revenue_Category,Is_Profitable,Market_Share,Customer_Satisfaction,Export_Percentage,Has_Patents,Region
1,Company_001,Retail,2,175,186316,224025,568804,1473397,Medio,1,0.19,65.14,28.73,0,North
2,Company_002,Finance,18,31,96812,73513,2674053,1512511,Medio,0,1.71,80.54,22.88,1,South
3,Company_003,Finance,24,32,175964,174592,2118725,1474585,Medio,0,5.85,95,20.01,1,East
4,Company_004,Manufacturing,42,185,124396,136937,2446829,930261,Bajo,0,2.23,46.62,83.77,1,Central
5,Company_005,Healthcare,34,45,879731,136006,4519537,3001168,Premium,0,2.88,52.81,22.96,0,South
6,Company_006,Retail,1,300,28168,500000,562285,2283094,Alto,1,0.4,72.85,62.99,0,South
7,Company_007,Finance,43,274,29776,66062,1530244,1367253,Medio,0,4.11,88.22,39.2,1,East
8,Company_008,Retail,44,380,93977,68325,1372590,924726,Bajo,0,3.02,57.4,6.7,1,South
9,Company_009,Tech,26,1848,317348,50713,2640614,1761376,Medio,0,4.35,52.37,84.76,0,Central
10,Company_010,Retail,44,3807,109906,46611,4233036,1476930,Medio,0,4.79,79.06,68.54,0,East
11,Company_011,Retail,33,32,1851799,76399,9381638,2886830,Premium,0,5.29,76.65,81.27,0,Central
12,Company_012,Tech,22,50,207811,10105,1838947,1750388,Medio,0,2.95,66.76,46.36,0,North
13,Company_013,Tech,7,336,637399,286136,11093729,3672291,Premium,0,1.53,76.87,79.2,0,North
14,Company_014,Tech,5,2786,291511,226484,3775601,3354000,Premium,0,0.24,46.41,73.63,0,North
15,Company_015,Retail,48,150,303483,213596,1725888,1988324,Alto,1,7.99,56.7,70.75,1,South
16,Company_016,Retail,1,157,368568,206069,2545379,1636397,Medio,0,3.29,74.17,15.6,1,South
17,Company_017,Tech,2,40,619761,103169,3722140,2397958,Alto,0,2.41,35.97,51.05,0,Central
18,Company_018,Healthcare,8,460,407107,146587,6655132,1810148,Medio,0,12.61,44.76,31.75,0,Central
19,Company_019,Finance,46,27,277856,80207,1195401,2040063,Alto,1,1.99,52.65,60.82,1,West
20,Company_020,Manufacturing,15,189,374937,67510,2280969,973250,Bajo,0,3.22,68.23,86.04,0,West
21,Company_021,Finance,30,439,71167,46838,4257944,991642,Bajo,0,3.29,86.54,29.66,1,South
22,Company_022,Retail,25,416,167600,242820,5183595,2015398,Alto,0,11.39,39.73,63.95,0,East
23,Company_023,Retail,28,43,1244284,113486,6083636,2510467,Alto,0,15.0,52.69,90.82,0,South
24,Company_024,Tech,39,191,527267,35438,2295142,2476496,Alto,1,1.36,74.88,10.81,1,East
25,Company_025,Finance,48,230,827175,47718,1088839,2667836,Premium,1,4.06,54.66,62.25,0,South
26,Company_026,Retail,9,13,523609,23400,2923584,1411455,Medio,0,4.63,63.12,16.36,0,North
27,Company_027,Tech,37,1197,1034477,129522,2549477,4580308,Premium,1,5.47,55.47,78.31,0,West
28,Company_028,Tech,19,409,194113,370046,707580,3869578,Premium,1,0.83,83.6,73.76,0,West
29,Company_029,Finance,6,271,924178,10000,5018682,2607161,Premium,0,9.75,73.28,31.85,1,West
30,Company_030,Tech,23,214,742807,65905,1583042,3203199,Premium,1,3.09,59.92,72.01,1,West
31,Company_031,Retail,19,407,430950,188176,5646290,848592,Bajo,0,0.1,69.49,63.29,0,South
32,Company_032,Retail,9,2763,1068891,68472,5976373,1662636,Medio,0,4.73,81.98,32.94,1,South
33,Company_033,Finance,21,411,701526,18801,632972,3074502,Premium,1,15.0,48.95,54.3,0,East
34,Company_034,Finance,35,14,195146,55699,586193,1744723,Medio,1,9.55,52.67,47.81,0,West
35,Company_035,Tech,6,245,635582,105202,8162306,2016982,Alto,0,6.74,62.71,59.4,1,South
36,Company_036,Finance,19,2918,30697,297188,1277212,1937436,Alto,1,1.23,38.75,85.23,1,North
37,Company_037,Retail,47,28,269876,37339,3015267,1045640,Bajo,0,0.91,24.32,90.58,0,West
38,Company_038,Tech,35,33,749252,160153,445899,3069638,Premium,1,2.63,81.51,52.26,1,Central
39,Company_039,Tech,27,476,436641,76677,631191,1820372,Medio,1,4.19,58.96,22.65,0,North
40,Company_040,Healthcare,37,45,174200,27253,47504,1042608,Bajo,1,1.43,69.25,14.81,0,North
41,Company_041,Tech,5,448,301464,101976,4179222,1482349,Medio,0,1.77,80.58,25.19,0,South
42,Company_042,Retail,36,245,394634,18592,7020836,1362550,Bajo,0,1.21,54.43,76.73,1,East
