Alcohol,MalicAcid,Ash,AshAlkalinity,Magnesium,Phenols,Flavanoids,NonflavanoidPhenols,Proanthocyanins,ColorIntensity,Hue,OD280,Proline,Cultivar
12.97,0.92,2.25,19.1,94,1.91,2.19,0.16,2.0,7.3,0.87,3.67,823,1
13.94,1.9,2.52,17.0,116,2.15,2.59,0.26,1.92,6.2,1.06,3.28,744,1
14.0,1.04,2.38,23.9,92,2.53,1.52,0.27,0.97,4.12,1.14,2.24,1066,1
14.38,1.7,2.57,25.4,103,1.82,1.34,0.18,2.12,3.93,0.73,2.93,808,1
15.34,2.08,2.47,17.1,95,1.62,2.21,0.21,2.14,4.49,0.94,2.83,845,1
14.79,1.83,2.54,15.3,101,1.78,2.75,0.37,0.67,7.98,0.73,3.04,935,1
14.64,1.39,2.44,21.7,92,2.26,1.27,0.37,2.17,7.81,0.77,2.7,796,1
13.02,1.81,2.12,20.4,96,2.71,2.65,0.18,2.44,4.86,0.84,3.08,673,1
13.75,0.6,1.9,22.1,91,2.32,1.77,0.11,2.38,5.58,0.65,3.85,752,1
14.8,0.89,2.2,24.2,113,2.03,2.86,0.29,1.3,5.86,0.68,3.23,881,1
13.47,1.86,2.67,24.8,97,1.69,1.32,0.31,2.16,4.62,0.59,2.56,887,1
13.78,2.03,2.35,17.7,96,1.83,4.49,0.26,1.62,6.45,0.68,3.6,625,1
14.7,1.44,2.07,24.0,95,2.17,2.53,0.22,2.46,4.82,0.78,3.02,761,1
13.01,1.6,2.53,24.4,79,2.2,2.62,0.37,1.42,2.35,0.77,3.27,844,1
15.23,0.93,2.62,20.6,96,3.13,3.62,0.3,1.67,3.25,0.78,3.3,702,1
13.96,2.54,2.58,25.0,81,1.83,2.96,0.18,1.31,8.09,0.86,3.57,940,1
12.51,2.67,2.7,25.0,94,2.12,1.92,0.27,1.27,2.03,0.79,2.61,864,1
13.81,1.2,2.0,20.7,90,1.84,2.62,0.15,2.48,7.6,0.79,2.53,732,1
13.97,1.18,2.67,14.4,103,2.58,3.37,0.31,1.32,4.88,0.91,3.38,903,1
13.72,1.81,1.71,22.9,104,2.41,2.08,0.39,1.92,6.15,0.84,3.47,850,1
13.29,1.54,2.38,20.3,95,2.54,3.52,0.29,1.57,10.44,0.74,2.15,838,1
14.2,1.76,2.53,33.3,107,2.08,2.58,0.29,2.01,8.6,1.13,2.45,755,1
12.58,1.62,2.1,14.6,109,2.29,2.15,0.13,1.91,6.58,1.03,3.22,766,1
13.16,2.67,2.43,26.4,108,3.21,2.42,0.35,0.71,5.96,1.01,2.57,786,1
13.07,1.11,2.09,19.5,103,2.59,3.0,0.46,2.59,5.41,0.76,2.79,853,1
14.95,2.29,2.85,20.9,97,2.33,2.41,0.02,1.57,5.94,0.73,3.35,887,1
14.24,2.21,2.51,10.6,90,1.86,1.71,0.25,1.17,5.19,0.68,3.12,580,1
14.4,1.63,2.54,27.1,89,3.21,3.13,0.21,1.69,5.96,0.99,3.97,888,1
14.05,1.96,2.86,15.4,103,2.87,2.06,0.15,2.4,6.38,0.79,2.13,877,1
13.47,1.66,2.82,23.7,112,1.8,2.38,0.12,2.13,7.89,0.89,3.13,922,1
14.11,1.53,2.4,20.5,84,2.5,2.51,0.33,1.86,8.24,0.83,2.64,807,1
13.65,2.1,2.37,26.4,100,1.83,1.97,0.23,1.87,6.68,0.64,2.55,1028,1
14.35,1.64,2.4,29.1,105,2.38,2.14,0.42,2.2,4.65,0.51,2.99,742,1
13.72,1.33,2.17,31.2,103,2.64,1.94,0.2,2.11,4.9,0.95,2.73,790,1
14.48,0.27,2.77,26.2,85,1.77,3.05,0.18,1.53,6.04,0.77,2.95,806,1
14.1,1.28,2.31,22.0,91,2.45,2.97,0.11,2.77,6.0,1.05,2.58,758,1
13.19,1.25,2.66,28.3,112,1.91,2.06,0.31,1.99,3.37,1.19,3.79,1060,1
13.9,1.32,2.26,15.0,113,2.12,1.71,0.43,2.09,4.47,0.72,3.34,891,1
13.98,2.08,2.14,13.2,114,2.08,2.96,0.16,1.81,6.89,0.74,2.63,844,1
12.77,1.36,2.17,18.8,103,2.07,2.85,0.34,2.13,4.77,0.85,2.92,1009,1
14.19,1.92,2.58,28.6,96,2.14,2.16,0.38,1.93,5.16,0.95,2.96,770,1
13.64,1.37,2.46,19.7,106,2.15,2.97,0.18,2.09,6.96,1.08,3.28,809,1
13.46,2.89,2.74,17.8,100,1.98,1.18,0.25,1.63,5.96,1.07,2.6,714,1
14.63,1.2,3.0,22.9,78,2.47,2.3,0.17,2.77,5.11,0.87,3.37,914,1
13.69,2.64,1.97,26.8,112,2.65,3.16,0.23,1.98,6.5,0.9,2.94,789,1
13.31,2.94,1.89,20.5,90,1.68,2.27,0.01,1.71,10.65,0.86,2.76,772,1
13.71,2.37,2.07,26.7,102,1.65,2.45,0.07,2.09,8.09,0.83,1.99,685,1
14.23,1.9,2.09,22.9,107,1.77,2.65,-0.02,1.75,5.07,0.93,3.39,760,1
14.21,2.12,2.42,23.3,105,2.12,2.47,0.34,1.4,6.26,0.89,3.22,892,1
13.48,1.09,1.88,20.2,99,2.74,2.7,0.11,2.11,4.41,0.85,1.99,727,1
14.27,1.34,2.92,17.5,110,1.77,3.38,0.31,2.08,4.8,1.1,2.46,825,1
15.57,1.5,2.22,27.4,110,2.48,2.58,0.04,1.57,6.48,1.06,3.05,848,1
12.93,1.47,2.29,18.9,98,2.29,1.8,0.07,2.05,5.54,0.82,2.46,877,1
13.89,1.85,2.57,14.0,111,2.35,1.19,0.29,2.02,7.93,0.81,3.11,650,1
15.13,2.11,2.02,22.3,99,2.65,2.8,0.15,2.64,5.52,0.95,2.85,800,1
14.49,3.09,2.49,23.5,91,2.93,2.8,0.15,1.86,6.48,1.26,1.7,960,1
14.29,1.91,2.25,31.4,85,2.68,1.25,0.32,2.49,5.68,0.69,3.4,946,1
14.63,2.28,1.88,18.8,100,2.19,1.58,0.19,2.11,3.75,0.95,2.88,737,1
13.68,1.61,2.42,19.0,95,1.52,1.91,0.3,2.52,5.69,0.7,2.85,934,1
15.37,1.34,2.46,25.1,110,2.56,3.69,0.22,1.86,7.29,0.78,3.62,999,2
14.7,1.79,2.34,23.5,94,3.05,4.12,0.22,2.38,8.71,0.69,3.46,875,2
15.57,1.21,2.38,23.8,86,1.88,3.6,0.18,1.8,6.85,0.68,2.28,881,2
15.97,1.09,2.53,29.8,112,2.64,3.01,0.22,3.02,6.89,0.87,2.16,1006,2
14.9,1.09,3.05,30.8,93,2.56,2.97,0.11,1.61,8.69,0.75,2.69,971,2
15.62,1.36,2.62,32.0,105,3.18,1.86,0.2,2.38,5.02,0.67,2.78,864,2
16.53,1.26,2.32,14.8,89,2.19,3.23,0.24,1.55,8.18,0.86,3.39,1008,2
14.84,0.85,2.25,30.2,103,2.07,3.12,0.3,1.57,3.3,0.96,3.23,783,2
13.12,1.78,2.68,31.4,104,2.94,3.66,0.02,2.79,8.2,0.69,2.35,929,2
14.04,1.75,2.78,21.5,98,2.24,3.65,0.17,1.83,5.98,0.8,3.41,1079,2
14.23,1.54,2.77,26.1,90,2.89,3.02,0.27,1.98,6.73,0.43,3.75,1059,2
15.18,2.34,2.29,26.1,124,3.18,2.9,0.13,3.01,5.55,1.01,3.17,1042,2
16.12,0.13,2.74,20.6,107,2.96,3.5,0.21,2.16,4.7,0.61,3.7,837,2
14.94,1.3,2.62,22.9,107,2.7,3.07,0.19,1.97,3.18,0.53,2.97,800,2
14.59,0.99,2.44,18.5,106,2.88,3.15,0.14,2.15,6.24,0.68,3.7,828,2
15.25,1.75,2.67,22.6,107,2.3,3.49,0.13,1.96,7.18,0.66,2.92,1086,2
15.92,2.16,2.1,26.5,100,3.53,2.74,0.1,2.66,3.23,0.77,1.65,991,2
15.36,1.62,2.53,21.5,108,2.54,2.64,0.29,2.17,6.42,0.73,3.02,967,2
13.24,1.12,2.29,14.5,109,3.47,2.39,0.12,2.51,4.43,0.51,2.9,810,2
15.41,0.59,2.38,22.5,86,2.8,2.96,0.26,2.51,8.17,0.72,4.21,935,2
14.62,1.44,2.97,18.1,112,1.88,2.78,0.16,2.15,6.02,1.2,4.03,866,2
16.81,1.22,2.65,23.8,93,2.34,2.41,-0.03,3.0,5.55,0.82,2.4,1008,2
14.68,1.29,2.59,25.4,105,2.86,3.48,0.2,2.57,7.64,0.83,2.91,851,2
16.29,1.16,3.11,18.7,105,2.62,3.16,0.27,1.26,5.6,1.12,2.85,924,2
14.88,1.01,2.74,28.9,106,2.54,3.2,0.16,3.09,4.78,0.96,3.06,895,2
13.06,0.6,3.06,27.8,122,2.09,3.09,0.06,1.66,8.14,0.86,3.06,778,2
14.03,1.69,2.43,24.1,99,2.65,2.89,0.2,1.83,6.9,0.81,3.58,903,2
15.56,1.61,2.39,24.8,103,2.27,2.27,0.21,2.23,6.28,0.45,3.35,871,2
16.04,0.47,1.7,34.1,108,2.2,3.81,0.09,1.71,6.65,0.73,3.0,978,2
16.32,2.16,2.54,25.5,110,2.35,3.63,0.21,1.52,4.28,0.77,3.72,1141,2
14.23,1.15,2.06,15.2,96,3.06,2.45,0.14,2.45,7.73,0.76,3.49,1068,2
14.38,0.95,2.49,23.5,103,2.86,2.5,0.3,2.37,8.55,0.69,3.23,1041,2
15.06,0.65,2.42,29.2,101,1.97,2.82,0.09,2.15,7.58,0.62,2.5,992,2
14.04,1.0,2.21,26.0,101,2.73,1.85,0.18,2.62,6.99,0.64,3.34,900,2
