Date,Year,Month,Quarter,Product_Category,Region,Sales,Units_Sold,Marketing_Spend,Promotions,Price_Per_Unit,Customer_Count,Previous_Month_Sales
2015-01,2015,1,1,Electronics,North,43761,910,3705,2,48.09,119,0
2015-01,2015,1,1,Electronics,South,41533,931,3446,2,44.61,178,0
2015-01,2015,1,1,Electronics,East,46386,1233,3527,1,37.62,275,0
2015-01,2015,1,1,Electronics,West,43775,614,2327,2,71.29,134,0
2015-01,2015,1,1,Electronics,Central,48771,611,6977,1,79.82,167,0
2015-01,2015,1,1,Clothing,North,32720,431,2997,2,75.92,91,0
2015-01,2015,1,1,Clothing,South,34591,500,2598,1,69.18,58,0
2015-01,2015,1,1,Clothing,East,36413,1451,4134,1,25.1,236,0
2015-01,2015,1,1,Clothing,West,31611,1364,4741,2,23.18,211,0
2015-01,2015,1,1,Clothing,Central,25669,1126,1676,2,22.8,120,0
2015-01,2015,1,1,Home,North,30918,377,4552,4,82.01,86,0
2015-01,2015,1,1,Home,South,25311,374,2027,2,67.68,98,0
2015-01,2015,1,1,Home,East,38583,592,4560,1,65.17,73,0
2015-01,2015,1,1,Home,West,22163,258,3063,2,85.9,75,0
2015-01,2015,1,1,Home,Central,21150,469,3117,0,45.1,69,0
2015-01,2015,1,1,Food,North,28296,305,2134,1,92.77,53,0
2015-01,2015,1,1,Food,South,17857,354,1270,2,50.44,54,0
2015-01,2015,1,1,Food,East,26790,421,3475,1,63.63,49,0
2015-01,2015,1,1,Food,West,22201,320,1395,4,69.38,38,0
2015-01,2015,1,1,Food,Central,23241,799,3390,2,29.09,121,0
2015-01,2015,1,1,Beauty,North,20897,234,2316,2,89.3,24,0
2015-01,2015,1,1,Beauty,South,20501,288,2714,2,71.18,76,0
2015-01,2015,1,1,Beauty,East,25120,267,1986,1,94.08,55,0
2015-01,2015,1,1,Beauty,West,18529,201,2506,1,92.18,22,0
2015-01,2015,1,1,Beauty,Central,18208,244,1962,0,74.62,49,0
2015-02,2015,2,1,Electronics,North,47249,482,6060,1,98.03,93,0
2015-02,2015,2,1,Electronics,South,40820,681,3917,0,59.94,179,0
2015-02,2015,2,1,Electronics,East,42100,545,2555,1,77.25,137,0
2015-02,2015,2,1,Electronics,West,39430,443,2725,1,89.01,116,0
2015-02,2015,2,1,Electronics,Central,40453,452,3401,2,89.5,114,0
2015-02,2015,2,1,Clothing,North,31219,597,2883,1,52.29,158,0
2015-02,2015,2,1,Clothing,South,28528,288,3641,1,99.06,31,0
2015-02,2015,2,1,Clothing,East,37151,755,3909,2,49.21,105,0
2015-02,2015,2,1,Clothing,West,31861,532,2696,1,59.89,103,0
2015-02,2015,2,1,Clothing,Central,30051,1321,2131,0,22.75,292,0
2015-02,2015,2,1,Home,North,28580,714,4038,1,40.03,125,0
2015-02,2015,2,1,Home,South,25515,619,1329,4,41.22,165,0
2015-02,2015,2,1,Home,East,29661,322,1909,1,92.11,50,0
2015-02,2015,2,1,Home,West,24836,1197,3585,1,20.75,322,0
2015-02,2015,2,1,Home,Central,22065,808,2185,2,27.31,130,0
2015-02,2015,2,1,Food,North,28156,287,2447,2,98.1,64,0
2015-02,2015,2,1,Food,South,20740,244,2388,2,85.0,40,0
2015-02,2015,2,1,Food,East,28730,316,3758,0,90.92,58,0
2015-02,2015,2,1,Food,West,25027,289,3362,1,86.6,30,0
2015-02,2015,2,1,Food,Central,18782,198,1723,1,94.86,22,0
2015-02,2015,2,1,Beauty,North,18933,264,1498,1,71.72,29,0
2015-02,2015,2,1,Beauty,South,20489,796,1827,0,25.74,117,0
2015-02,2015,2,1,Beauty,East,24104,576,3542,2,41.85,59,0
2015-02,2015,2,1,Beauty,West,16801,178,1863,1,94.39,48,0
2015-02,2015,2,1,Beauty,Central,17211,822,2439,2,20.94,188,0
2015-03,2015,3,1,Electronics,North,45838,760,6753,1,60.31,109,0
2015-03,2015,3,1,Electronics,South,62346,774,5538,0,80.55,135,0
2015-03,2015,3,1,Electronics,East,65605,2684,5845,1,24.44,645,0
2015-03,2015,3,1,Electronics,West,52697,799,4642,2,65.95,96,0
2015-03,2015,3,1,Electronics,Central,62537,1148,3946,1,54.47,334,0
2015-03,2015,3,1,Clothing,North,51228,2359,4614,2,21.72,506,0
2015-03,2015,3,1,Clothing,South,39802,465,5932,2,85.6,123,0
2015-03,2015,3,1,Clothing,East,41842,836,5840,0,50.05,104,0
2015-03,2015,3,1,Clothing,West,37147,1509,3519,3,24.62,448,0
2015-03,2015,3,1,Clothing,Central,46609,1437,6017,3,32.43,168,0
2015-03,2015,3,1,Home,North,36385,629,3259,2,57.85,183,0
2015-03,2015,3,1,Home,South,41099,680,3892,1,60.44,159,0
2015-03,2015,3,1,Home,East,53798,670,6642,2,80.3,194,0
2015-03,2015,3,1,Home,West,40041,584,4697,1,68.56,146,0
2015-03,2015,3,1,Home,Central,37281,800,5165,1,46.6,96,0
2015-03,2015,3,1,Food,North,33742,431,1920,0,78.29,65,0
2015-03,2015,3,1,Food,South,33723,493,4013,2,68.4,98,0
2015-03,2015,3,1,Food,East,37487,469,2603,2,79.93,83,0
2015-03,2015,3,1,Food,West,30515,406,3364,2,75.16,100,0
2015-03,2015,3,1,Food,Central,34629,504,3564,0,68.71,148,0
2015-03,2015,3,1,Beauty,North,33164,337,1840,1,98.41,85,0
2015-03,2015,3,1,Beauty,South,32682,428,3949,1,76.36,66,0
2015-03,2015,3,1,Beauty,East,29313,502,3827,1,58.39,53,0
2015-03,2015,3,1,Beauty,West,23736,278,2662,0,85.38,70,0
2015-03,2015,3,1,Beauty,Central,31252,828,3117,1,37.74,87,0
2015-04,2015,4,2,Electronics,North,62119,1351,9301,3,45.98,219,0
2015-04,2015,4,2,Electronics,South,69749,3340,5036,2,20.88,867,0
2015-04,2015,4,2,Electronics,East,68367,1205,9702,2,56.74,289,0
2015-04,2015,4,2,Electronics,West,57822,591,7553,1,97.84,101,0
2015-04,2015,4,2,Electronics,Central,66608,2829,8458,3,23.54,317,0
2015-04,2015,4,2,Clothing,North,54360,549,5216,0,99.02,128,0
2015-04,2015,4,2,Clothing,South,45418,1513,2512,2,30.02,421,0
2015-04,2015,4,2,Clothing,East,47552,1122,2526,1,42.38,223,0
2015-04,2015,4,2,Clothing,West,41084,1395,4742,2,29.45,219,0
2015-04,2015,4,2,Clothing,Central,43003,1079,6100,2,39.85,206,0
2015-04,2015,4,2,Home,North,39497,501,3937,0,78.84,59,0
2015-04,2015,4,2,Home,South,37270,914,3805,2,40.78,263,0
2015-04,2015,4,2,Home,East,46296,478,2531,2,96.85,77,0
2015-04,2015,4,2,Home,West,36018,791,2841,3,45.53,109,0
2015-04,2015,4,2,Home,Central,44350,1320,3611,1,33.6,383,0
